,date,new_cases,new_deaths,new_tests,total_cases,total_deaths,IFR^,Percent Positivity,Positivity Standardized Cases,Mortality Standardized Cases,Mortality Standardized Total,Estimated Percent Infected
29233,2020-03-08,95.0,3.0,874.0,433.0,17.0,3.9260969976905313,10.869565217391305,413.0434782608696,240.0,1360.0,0.0004108728471890438
29234,2020-03-09,121.0,4.0,1773.0,554.0,21.0,3.790613718411552,6.824591088550479,330.3102086858432,320.0,1680.0,0.0005075488112335246
29235,2020-03-10,200.0,5.0,2490.0,754.0,26.0,3.4482758620689653,8.032128514056225,642.570281124498,400.0,2080.0,0.0006283937662891258
29236,2020-03-11,271.0,2.0,3818.0,1025.0,28.0,2.731707317073171,7.097957045573598,769.418543740178,160.0,2240.0,0.0006767317483113662
29237,2020-03-12,287.0,2.0,5310.0,1312.0,30.0,2.2865853658536586,5.404896421845574,620.4821092278719,160.0,2400.0,0.0007250697303336067
29238,2020-03-13,351.0,10.0,9171.0,1663.0,40.0,2.4052916416115453,3.8272816486751715,537.350343473994,800.0,3200.0,0.0009667596404448089
29239,2020-03-14,511.0,7.0,4610.0,2174.0,47.0,2.1619135234590616,11.08459869848156,2265.691973969631,560.0,3760.0,0.0011359425775226506
29240,2020-03-15,777.0,10.0,7604.0,2951.0,57.0,1.9315486275838698,10.218306154655444,3175.8495528669123,800.0,4560.0,0.0013776324876338527
29241,2020-03-16,823.0,12.0,17924.0,3774.0,69.0,1.8282988871224166,4.591609015844678,1511.557688016068,960.0,5520.0,0.0016676603797672954
29242,2020-03-17,887.0,16.0,17320.0,4661.0,85.0,1.8236429950654367,5.121247113163972,1817.0184757505772,1280.0,6800.0,0.002054364235945219
29243,2020-03-18,1766.0,23.0,25064.0,6427.0,108.0,1.6804107670763964,7.045962336418768,4977.2677944462175,1840.0,8640.0,0.002610251029200984
29244,2020-03-19,2988.0,42.0,28081.0,9415.0,150.0,1.5932023366967605,10.640646700616074,12717.700936576332,3360.0,12000.0,0.003625348651668034
29245,2020-03-20,4835.0,0.0,36662.0,14250.0,150.0,1.0526315789473684,13.18804211445093,25505.673449348098,0.0,12000.0,0.003625348651668034
29246,2020-03-21,5374.0,110.0,45333.0,19624.0,260.0,1.3249082755809212,11.854498930139194,25482.430900227213,8800.0,20800.0,0.006283937662891257
29247,2020-03-22,7123.0,80.0,45473.0,26747.0,340.0,1.2711705985718025,15.664240318430716,44630.5535152728,6400.0,27200.0,0.008217456943780876
29248,2020-03-23,8459.0,131.0,58148.0,35206.0,471.0,1.3378401408850764,14.547361904106761,49222.45373873564,10480.0,37680.0,0.011383594766237624
29249,2020-03-24,11236.0,119.0,69137.0,46442.0,590.0,1.2704017914818482,16.251789924353098,73042.04463601256,9520.0,47200.0,0.01425970469656093
29250,2020-03-25,8789.0,211.0,84394.0,55231.0,801.0,1.4502724918976662,10.414247458350118,36612.328364575675,16880.0,64080.0,0.0193593617999073
29251,2020-03-26,13963.0,249.0,101815.0,69194.0,1050.0,1.5174726132323613,13.7140892795757,76595.93144428621,19920.0,84000.0,0.025377440561676234
29252,2020-03-27,16797.0,246.0,102656.0,85991.0,1296.0,1.5071344675605585,16.36241427680798,109935.78904301746,19680.0,103680.0,0.03132301235041181
29253,2020-03-28,18695.0,411.0,106870.0,104686.0,1707.0,1.6305905278642798,17.49321605689155,130814.26967343502,32880.0,136560.0,0.04125646765598222
29254,2020-03-29,19979.0,484.0,87612.0,124665.0,2191.0,1.7575101271407372,22.80395379628361,182240.07715838013,38720.0,175280.0,0.05295425930536441
29255,2020-03-30,18360.0,318.0,118461.0,143025.0,2509.0,1.7542387694459012,15.49877174766379,113822.97971484289,25440.0,200720.0,0.06063999844690064
29256,2020-03-31,21595.0,661.0,112330.0,164620.0,3170.0,1.925646944478192,19.224606071396778,166062.14724472538,52880.0,253600.0,0.0766157015052511
29257,2020-04-01,24998.0,909.0,108521.0,189618.0,4079.0,2.1511670832937804,23.035172915841173,230333.30102007906,72720.0,326320.0,0.09858531433435938
29258,2020-04-02,27103.0,1059.0,118851.0,216721.0,5138.0,2.3707900941763835,22.804183389285747,247224.71295992463,84720.0,411040.0,0.1241802758151357
29259,2020-04-03,28819.0,915.0,132890.0,245540.0,6053.0,2.4651787896065813,21.68635713748213,249991.65053803902,73200.0,484240.0,0.1462949025903107
29260,2020-04-04,32425.0,1104.0,229193.0,277965.0,7157.0,2.5747845951828467,14.14746523672189,183492.6241202829,88320.0,572560.0,0.17297746866658742
29261,2020-04-05,34272.0,1344.0,119655.0,312237.0,8501.0,2.7226113497119178,28.642346746897328,392652.2030838661,107520.0,680080.0,0.205460592585533
29262,2020-04-06,25398.0,1146.0,152008.0,337635.0,9647.0,2.857227479378619,16.70833114046629,169743.27772222512,91680.0,771760.0,0.23315825628427678
29263,2020-04-07,30561.0,1342.0,154242.0,368196.0,10989.0,2.9845517061565037,19.813669428560317,242210.22056249273,107360.0,879120.0,0.2655930422212001
29264,2020-04-08,30613.0,1906.0,147488.0,398809.0,12895.0,3.233377381152381,20.75626491646778,254164.61515513127,152480.0,1031600.0,0.31165913908839527
29265,2020-04-09,33323.0,1922.0,171058.0,432132.0,14817.0,3.4288134181222403,19.480527072688798,259659.84145728353,153760.0,1185360.0,0.3581119398117683
29266,2020-04-10,33901.0,1873.0,158393.0,466033.0,16690.0,3.5812914536095084,21.403092308372212,290234.49293845054,149840.0,1335200.0,0.40338045997559646
29267,2020-04-11,35527.0,2087.0,136987.0,501560.0,18777.0,3.7437195948640243,25.93457773365356,368551.097257404,166960.0,1502160.0,0.4538211442158044
29268,2020-04-12,28391.0,1831.0,138917.0,529951.0,20608.0,3.8886614045449486,20.437383473584948,232095.1016794201,146480.0,1648640.0,0.4980745667571655
29269,2020-04-13,27620.0,1500.0,134183.0,557571.0,22108.0,3.965055571398082,20.583829546216734,227410.14882660247,120000.0,1768640.0,0.5343280532738459
29270,2020-04-14,25023.0,1541.0,151772.0,582594.0,23649.0,4.05925910668493,16.487230846269405,165023.99098647974,123280.0,1891920.0,0.5715724684219822
29271,2020-04-15,26922.0,2408.0,136982.0,609516.0,26057.0,4.275031336338997,19.653677125461737,211646.51822867236,192640.0,2084560.0,0.6297713987767596
29272,2020-04-16,30148.0,4928.0,163798.0,639664.0,30985.0,4.843949323394782,18.405597137938194,221956.77700582426,394240.0,2478800.0,0.7488761864795601
29273,2020-04-17,31667.0,2299.0,158684.0,671331.0,33284.0,4.957911968909524,19.956013208641075,252778.82811121474,183920.0,2662720.0,0.8044406968141256
29274,2020-04-18,30833.0,3770.0,145834.0,702164.0,37054.0,5.277114748121522,21.14253191985408,260755.07467394433,301600.0,2964320.0,0.8955577929260488
29275,2020-04-19,32922.0,1856.0,153930.0,735086.0,38910.0,5.293258203802004,21.38764373416488,281649.6028064705,148480.0,3112800.0,0.9404154402426878
29276,2020-04-20,24601.0,1772.0,145688.0,759687.0,40682.0,5.355100192579313,16.88608533304047,166165.83411125143,141760.0,3254560.0,0.9832428923143929
29277,2020-04-21,28065.0,1857.0,152834.0,787752.0,42539.0,5.400049761853984,18.363060575526386,206143.71802085923,148560.0,3403120.0,1.0281247086220433
29278,2020-04-22,37289.0,2524.0,323479.0,825041.0,45063.0,5.4619103777872855,11.527487101171946,171939.38660624027,201920.0,3605040.0,1.0891272419341105
29279,2020-04-23,17588.0,1721.0,192814.0,842629.0,46784.0,5.552146911630148,9.121744271681518,64173.29530013382,137680.0,3742720.0,1.1307220754642486
29280,2020-04-24,26543.0,3179.0,235857.0,869172.0,49963.0,5.748344401338286,11.253852970231963,119484.40775554678,254320.0,3997040.0,1.2075552978885997
29281,2020-04-25,21352.0,1054.0,276150.0,890524.0,51017.0,5.728874235843167,7.732029694006879,66037.71921057395,84320.0,4081360.0,1.2330294144143206
29282,2020-04-26,48529.0,2172.0,206288.0,939053.0,53189.0,5.664110545411175,23.524877840688745,456655.5186923137,173760.0,4255120.0,1.2855244628904736
29283,2020-04-27,26857.0,1687.0,194774.0,965910.0,54876.0,5.681274652917974,13.788801380060994,148130.33546571925,134960.0,4390080.0,1.3262975507262333
29284,2020-04-28,22541.0,1369.0,206599.0,988451.0,56245.0,5.69021630814274,10.910507795294265,98373.5024854912,109520.0,4499600.0,1.359384899420457
29285,2020-04-29,24132.0,2110.0,239407.0,1012583.0,58355.0,5.762984367701216,10.079905767166373,97299.31438930357,168800.0,4668400.0,1.4103814704539206
29286,2020-04-30,27326.0,2611.0,232647.0,1039909.0,60966.0,5.8626283645972865,11.745691971097843,128385.11152088786,208880.0,4877280.0,1.4734867059839554
29287,2020-05-01,29917.0,2040.0,295226.0,1069826.0,63006.0,5.88936892541404,10.133592569760117,121266.67556380536,163200.0,5040480.0,1.5227914476466407
29288,2020-05-02,33955.0,2062.0,247084.0,1103781.0,65068.0,5.8950099702749,13.742290071392723,186647.78374965597,164960.0,5205440.0,1.5726279071115705
29289,2020-05-03,29288.0,1317.0,236514.0,1133069.0,66385.0,5.858866494450029,12.383199303212495,145071.65647699503,105360.0,5310800.0,1.604458468273216
29290,2020-05-04,24972.0,1297.0,231456.0,1158041.0,67682.0,5.844525366545744,10.789091663210286,107770.07880547491,103760.0,5414560.0,1.6358056496146387
29291,2020-05-05,22593.0,1252.0,271471.0,1180634.0,68934.0,5.838727327859438,8.322435913965027,75211.51784168473,100160.0,5514720.0,1.6660652263605615
29292,2020-05-06,23841.0,2144.0,244833.0,1204475.0,71078.0,5.9011602565433074,9.737657913761625,92862.20092879636,171520.0,5686240.0,1.7178835430884034
