,new_tests,new_deaths
93,419977.0,493.0
94,428279.0,999.0
95,456423.0,918.0
96,617370.0,896.0
97,505393.0,849.0
98,482888.0,767.0
99,435160.0,296.0
100,463137.0,395.0
101,487157.0,836.0
102,513906.0,754.0
103,569490.0,717.0
104,567193.0,678.0
105,512828.0,607.0
106,462378.0,256.0
107,499595.0,427.0
108,511135.0,826.0
109,635891.0,751.0
110,601962.0,2437.0
111,602866.0,623.0
112,586643.0,500.0
113,631715.0,265.0
114,633945.0,336.0
115,633282.0,1270.0
116,663376.0,652.0
117,721440.0,678.0
118,642231.0,694.0
119,656908.0,242.0
120,519951.0,271.0
121,633221.0,359.0
122,626670.0,1174.0
